2026-06-22T00:31:04.016495Z  INFO Storing genesis block hash=0xd4e5…8fa3
2026-06-22T00:31:04.024825Z  INFO Auto-tune: available RAM 34 GB, headroom 9 GB, usable 25 GB, preimage estimate 116 GB -> mmap mode, flush every 1000000
2026-06-22T00:31:04.025071Z  INFO Reading preimage file: xatu-preimages/preimages.rlp (mode: mmap)
2026-06-22T00:31:04.025120Z  INFO Preimage file size: 108493 MB
2026-06-22T00:31:04.056139Z  INFO Skipped gethdbdump header (0 bytes)
2026-06-22T00:37:17.395445Z  INFO 31% | 552100000 preimage entries parsed...
2026-06-22T00:37:22.420000Z  INFO 31% | 559300000 preimage entries parsed...
2026-06-22T00:37:27.480331Z  INFO 31% | 567200000 preimage entries parsed...
2026-06-22T00:37:32.554019Z  INFO 32% | 574600000 preimage entries parsed...
2026-06-22T00:37:37.600040Z  INFO 32% | 581900000 preimage entries parsed...
2026-06-22T00:37:42.657051Z  INFO 33% | 589300000 preimage entries parsed...
2026-06-22T00:37:47.690910Z  INFO 33% | 596400000 preimage entries parsed...
2026-06-22T00:37:52.763735Z  INFO 34% | 603900000 preimage entries parsed...
2026-06-22T00:37:57.805652Z  INFO 34% | 611700000 preimage entries parsed...
2026-06-22T00:38:02.814632Z  INFO 34% | 619500000 preimage entries parsed...
2026-06-22T00:38:07.896714Z  INFO 35% | 627000000 preimage entries parsed...
2026-06-22T00:38:12.969980Z  INFO 35% | 634500000 preimage entries parsed...
2026-06-22T00:38:17.970124Z  INFO 36% | 641900000 preimage entries parsed...
2026-06-22T00:38:22.985786Z  INFO 36% | 649100000 preimage entries parsed...
2026-06-22T00:38:27.990814Z  INFO 37% | 656500000 preimage entries parsed...
2026-06-22T00:38:33.008313Z  INFO 37% | 663900000 preimage entries parsed...
2026-06-22T00:38:38.009633Z  INFO 37% | 671600000 preimage entries parsed...
2026-06-22T00:38:43.085112Z  INFO 38% | 679400000 preimage entries parsed...
2026-06-22T00:38:48.160346Z  INFO 38% | 687000000 preimage entries parsed...
2026-06-22T00:38:53.184085Z  INFO 39% | 694700000 preimage entries parsed...
2026-06-22T00:38:58.211781Z  INFO 39% | 702100000 preimage entries parsed...
2026-06-22T00:39:03.304250Z  INFO 40% | 709500000 preimage entries parsed...
2026-06-22T00:39:08.406109Z  INFO 40% | 716700000 preimage entries parsed...
2026-06-22T00:39:13.433569Z  INFO 40% | 723700000 preimage entries parsed...
2026-06-22T00:39:18.453558Z  INFO 41% | 730800000 preimage entries parsed...
2026-06-22T00:39:23.507827Z  INFO 41% | 738100000 preimage entries parsed...
2026-06-22T00:39:28.546712Z  INFO 42% | 745600000 preimage entries parsed...
2026-06-22T00:39:33.560023Z  INFO 42% | 752600000 preimage entries parsed...
2026-06-22T00:39:38.590083Z  INFO 42% | 759800000 preimage entries parsed...
2026-06-22T00:39:43.682243Z  INFO 43% | 767500000 preimage entries parsed...
2026-06-22T00:39:48.705076Z  INFO 43% | 775200000 preimage entries parsed...
2026-06-22T00:39:53.709565Z  INFO 44% | 783000000 preimage entries parsed...
2026-06-22T00:39:58.709875Z  INFO 44% | 790600000 preimage entries parsed...
2026-06-22T00:40:03.736424Z  INFO 45% | 798100000 preimage entries parsed...
2026-06-22T00:40:08.760841Z  INFO 45% | 805800000 preimage entries parsed...
2026-06-22T00:40:13.785500Z  INFO 45% | 813500000 preimage entries parsed...
2026-06-22T00:40:18.797167Z  INFO 46% | 821100000 preimage entries parsed...
2026-06-22T00:40:23.800690Z  INFO 46% | 828500000 preimage entries parsed...
2026-06-22T00:40:28.868309Z  INFO 47% | 835900000 preimage entries parsed...
2026-06-22T00:40:33.876497Z  INFO 47% | 842800000 preimage entries parsed...
2026-06-22T00:40:38.922113Z  INFO 47% | 850000000 preimage entries parsed...
2026-06-22T00:40:44.003909Z  INFO 48% | 857500000 preimage entries parsed...
2026-06-22T00:40:49.072115Z  INFO 48% | 865000000 preimage entries parsed...
2026-06-22T00:40:54.116829Z  INFO 49% | 872700000 preimage entries parsed...
2026-06-22T00:40:59.164121Z  INFO 49% | 880200000 preimage entries parsed...
2026-06-22T00:41:04.207429Z  INFO 50% | 887800000 preimage entries parsed...
2026-06-22T00:41:09.281753Z  INFO 50% | 895000000 preimage entries parsed...
2026-06-22T00:41:14.288940Z  INFO 50% | 902300000 preimage entries parsed...
2026-06-22T00:41:19.297809Z  INFO 51% | 909800000 preimage entries parsed...
2026-06-22T00:41:24.308781Z  INFO 51% | 917200000 preimage entries parsed...
2026-06-22T00:41:29.336932Z  INFO 52% | 924400000 preimage entries parsed...
2026-06-22T00:41:34.390147Z  INFO 52% | 931200000 preimage entries parsed...
2026-06-22T00:41:39.390983Z  INFO 52% | 938600000 preimage entries parsed...
2026-06-22T00:41:44.475688Z  INFO 53% | 945900000 preimage entries parsed...
2026-06-22T00:41:49.492831Z  INFO 53% | 953300000 preimage entries parsed...
2026-06-22T00:41:54.608818Z  INFO 54% | 961000000 preimage entries parsed...
2026-06-22T00:41:59.801121Z  INFO 54% | 968300000 preimage entries parsed...
2026-06-22T00:42:04.948787Z  INFO 55% | 975900000 preimage entries parsed...
2026-06-22T00:42:10.000316Z  INFO 55% | 983100000 preimage entries parsed...
2026-06-22T00:42:15.020063Z  INFO 55% | 990500000 preimage entries parsed...
